fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,año,dia_semana,mes,nombre_mes,dia_mes,nombre_dia_semana,es_fin_de_semana,es_festivo,es_Black_Friday,es_Cyber_Monday,es_laborable,dia_del_año,semana_del_año,unidades_vendidas_lag1,unidades_vendidas_lag2,unidades_vendidas_lag3,unidades_vendidas_lag4,unidades_vendidas_lag5,unidades_vendidas_lag6,unidades_vendidas_lag7,unidades_vendidas_mm7,descuento_pct,precio_competencia,ratio_precio,nombre_H_Adidas Own The Run Jacket,nombre_H_Adidas Ultraboost 23,nombre_H_Asics Gel Nimbus 25,nombre_H_Bowflex SelectTech 552,nombre_H_Columbia Silver Ridge,nombre_H_Decathlon Bandas Elásticas Set,nombre_H_Domyos BM900,nombre_H_Domyos Kit Mancuernas 20kg,nombre_H_Gaiam Premium Yoga Block,nombre_H_Liforme Yoga Pad,nombre_H_Lotuscrafts Yoga Bolster,nombre_H_Manduka PRO Yoga Mat,nombre_H_Merrell Moab 2 GTX,nombre_H_New Balance Fresh Foam X 1080v12,nombre_H_Nike Air Zoom Pegasus 40,nombre_H_Nike Dri-FIT Miler,nombre_H_Puma Velocity Nitro 2,nombre_H_Quechua MH500,nombre_H_Reebok Floatride Energy 5,nombre_H_Reebok Professional Deck,nombre_H_Salomon Speedcross 5 GTX,nombre_H_Sveltus Kettlebell 12kg,nombre_H_The North Face Borealis,nombre_H_Trek Marlin 7,categoria_H_Fitness,categoria_H_Outdoor,categoria_H_Running,categoria_H_Wellness,subcategoria_H_Banco Gimnasio,subcategoria_H_Bandas Elásticas,subcategoria_H_Bicicleta Montaña,subcategoria_H_Bloque Yoga,subcategoria_H_Cojín Yoga,subcategoria_H_Esterilla Fitness,subcategoria_H_Esterilla Yoga,subcategoria_H_Mancuernas Ajustables,subcategoria_H_Mochila Trekking,subcategoria_H_Pesa Rusa,subcategoria_H_Pesas Casa,subcategoria_H_Rodillera Yoga,subcategoria_H_Ropa Montaña,subcategoria_H_Ropa Running,subcategoria_H_Zapatillas Running,subcategoria_H_Zapatillas Trail
2025-11-01,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,,115.0,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.0,100.61000000000001,1.1430275320544676,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-01,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,,135.0,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.0,119.08,1.133691635875042,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-01,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,,86.39,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,-0.01635294117647068,82.69,1.0447454347563188,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-01,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,,74.09,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.01213333333333333,76.12666666666667,0.9732463438129434,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-01,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,,34.76,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.006857142857142895,35.18333333333333,0.9879677877783042,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-11-01,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,,63.8,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.01846153846153853,62.26333333333333,1.024680122062209,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2025-11-01,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,,70.3,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,-0.004285714285714226,68.50666666666666,1.0261775009731413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-01,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,,64.41,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.009076923076923094,63.836666666666666,1.0089812542425982,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2025-11-01,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,,400.0,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.0,365.75333333333333,1.0936332318684723,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2025-11-01,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,,175.0,,2025,5,11,Noviembre,1,Sábado,True,True,False,False,False,305,44,,,,,,,,,0.0,173.06333333333336,1.011190508291762,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
